iter	Logloss
0	0.6297305714
1	0.5691520691
2	0.5196088617
3	0.476305112
4	0.4394345717
5	0.4110131004
6	0.3803544131
7	0.3544545607
8	0.3347313274
9	0.3161632885
10	0.301667959
11	0.2914134979
12	0.2808255976
13	0.2684716658
14	0.2588863026
15	0.249104205
16	0.239762705
17	0.2313129425
18	0.2254441175
19	0.2207671772
20	0.2144185153
21	0.2077116013
22	0.2032642711
23	0.2000022715
24	0.1957742518
25	0.192728112
26	0.1885783109
27	0.1855446902
28	0.1829724399
29	0.1802746339
30	0.1771111402
31	0.1744776986
32	0.1717096502
33	0.1698490143
34	0.1676934329
35	0.1655968233
36	0.1638628526
37	0.1623890617
38	0.1608334628
39	0.1594762802
40	0.15742106
41	0.1554595947
42	0.1533853357
43	0.1518495213
44	0.1507871454
45	0.1498284947
46	0.1489863482
47	0.1477469184
48	0.1467604897
49	0.1459642237
50	0.1452384255
51	0.1442280162
52	0.1430059086
53	0.1419783679
54	0.1399615201
55	0.1391198158
56	0.138538456
57	0.1378462011
58	0.1367739417
59	0.1357769706
60	0.1349831841
61	0.1338229266
62	0.1327298511
63	0.1319903894
64	0.1313267014
65	0.1307198438
66	0.1299645597
67	0.1293463273
68	0.1287310687
69	0.1279985688
70	0.127387489
71	0.1270963322
72	0.1260724675
73	0.1257759875
74	0.1249845158
75	0.1238805164
76	0.1230372516
77	0.1223739277
78	0.1215257038
79	0.1204855832
80	0.1195371194
81	0.1189436826
82	0.1184633255
83	0.1177443938
84	0.1172156421
85	0.1169400475
86	0.1162220088
87	0.1154159373
88	0.1148112904
89	0.114140892
90	0.1137124235
91	0.1131570643
92	0.1122651447
93	0.1114600962
94	0.1111728842
95	0.1106840827
96	0.1102965268
97	0.1096693386
98	0.1089960705
99	0.108257233
100	0.1078404166
101	0.1072033015
102	0.1068862221
103	0.1063855258
104	0.1056955684
105	0.105370877
106	0.1046445153
107	0.1041001493
108	0.1036005194
109	0.1030286702
110	0.1026443828
111	0.1022851424
112	0.1019561161
113	0.1012385628
114	0.1004854722
115	0.1000304049
116	0.09962711334
117	0.09910981438
118	0.0987418088
119	0.09841254841
120	0.09793307564
121	0.09757189317
122	0.09715136615
123	0.09666704698
124	0.09630803195
125	0.09596444043
126	0.09546257366
127	0.09494545676
128	0.09451571378
129	0.09427122636
130	0.0939111016
131	0.09352006045
132	0.09319993799
133	0.09268222289
134	0.09204202132
135	0.0917218295
136	0.09129361239
137	0.09072721655
138	0.09044402729
139	0.089981738
140	0.08937664899
141	0.08911882747
142	0.08873870156
143	0.08814310594
144	0.08770440709
145	0.08721759103
146	0.086707566
147	0.08639733575
148	0.08591462049
149	0.085563651
150	0.08524105766
151	0.08492072712
152	0.08438947851
153	0.08408216997
154	0.08342532245
155	0.08319820057
156	0.08278331757
157	0.08265803077
158	0.08215694427
159	0.08195518147
160	0.08128091639
161	0.08103927266
162	0.08079041568
163	0.08062062697
164	0.08045586673
165	0.08017938787
166	0.07987677834
167	0.07966669256
168	0.07933571555
169	0.07914871736
170	0.07878507267
171	0.07862800251
172	0.07844090028
173	0.07817259702
174	0.07797515176
175	0.07756925063
176	0.07718956687
177	0.07697994926
178	0.07683673338
179	0.07662620544
180	0.07640023665
181	0.07606309544
182	0.07570896149
183	0.07537150816
184	0.07494920384
185	0.07469641946
186	0.0743421728
187	0.07424904216
188	0.07406206131
189	0.07399864197
190	0.07355314602
191	0.07328023044
192	0.07289787639
193	0.07265155966
194	0.07246311795
195	0.07209489996
196	0.07200032147
197	0.07162329067
198	0.0714609883
199	0.07136187987
